barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5060107332249,Ella's Chicken Casserole With Rice 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Carrots; Vegetable stock; Onions; Parsnips; Swedes; Cooked rice; Broccoli; Chicken; Potatoes; Apricots; Mint; Parsley; Thyme; Black pepper,unknown,Sainsbury's,2.2,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5060107338920,Ella's Kitchen Chicken Curry With Veggie Rice 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Tomatoes; Cooked rice; Carrots; Chicken; Green beans; Butternut squash; Onions; Red peppers; Mangoes; Coconuts; Garlic; Cumin; Turmeric; Coriander seed,unknown,Sainsbury's,2.2,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5060107333956,Ella's Kitchen Lovely Lamb Roast Dinner 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Vegetable stock; Parsnips; Swedes; Leeks; Potatoes; Carrots; Lamb; Red cabbage; Onions; Cornflour; Mint; Black pepper; Rosemary,unknown,Sainsbury's,2.2,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5060107331365,Ella's Kitchen Organic Cottage Pie With Cinnamon 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Potatoes; Vegetable stock; Onions; Carrots; Sweet potatoes; Beef; Tomatoes; Peas; Cornflour; Cinnamon; Oregano,unknown,Sainsbury's,2.1,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5060107331327,Ella's Kitchen Organic Tomato Pasta With Vegetables 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Tomatoes; Cooked pasta; Durum wheat; Dried egg whites; Carrots; Onions; Red peppers; Vegetable stock; Courgettes; Extra virgin olive oil; Oregano,Wheat; Egg; Soya; Mustard,Sainsbury's,2.2,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5060107333970,Ella's Kitchen Wonderfully Warming Beef Stew 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Vegetable stock; Carrots; Parsnips; Leeks; Onions; Swedes; Potatoes; Beef; Tomatoes; Cornflour; Mixed herbs; Thyme; Parsley; Marjoram; Basil; Rosemary; Peppercorns,unknown,Sainsbury's,2.2,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5000157079800,Heinz Spaghetti Bolognese Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Tomato; Carrot; Onion; Courgette; Spaghetti; Water; Durum wheat semolina; Egg white; Beef; Cornflour; Parsley; Oregano; Thyme,Wheat; Egg; Soya; Mustard,Sainsbury's,2.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5000157079893,Heinz Sweet & Sour Chicken Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Carrot; Tomato; Onion; Red pepper; Rice; Chicken; Water; Pineapple; Raisins; Cornflour; Extra virgin olive oil,unknown,Sainsbury's,2.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5000157079794,Heinz Thai Chicken Curry Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Carrot; Butternut squash; Sweet potato; Onion; Red pepper; Rice; Water; Chicken; Coconut; Cornflour; Parsley; Ginger; Curry spices,Celery,Sainsbury's,2.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-
5051594006812,Aptamil 1 First Baby Milk Formula Powder from Birth 800g,Aptamil,Baby & Toddler,Formula Milk,Dairy-based blend; Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Fish oil; Galacto-oligosaccharides; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Sainsbury's,12.8,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44
