barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5060107332249,Ella's Chicken Casserole With Rice 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Carrots; Vegetable stock; Onions; Parsnips; Swedes; Cooked rice; Broccoli; Chicken; Potatoes; Apricots; Mint; Parsley; Thyme; Black pepper,,Tesco,2.2,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/271413287,,manual_csv,https://www.tesco.com/groceries/en-GB/products/271413287
5060503502673,Ella's Kitchen 7 Month Plus Veggie Biryani 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic mushrooms; Organic vegetable stock; Organic cooked rice; Organic sweet potatoes; Organic onions; Organic tomatoes; Organic cooked lentils; Organic mangoes; Organic spinach; Organic extra virgin olive oil; Organic herbs and spices,,Tesco,1.8,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/309467274,,manual_csv,https://www.tesco.com/groceries/en-GB/products/309467274
5060107332119,Ella's Kitchen Chicken Casserole With Rice 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic carrots; Organic vegetable stock; Organic cooked rice; Organic broccoli; Organic onions; Organic chicken; Organic apricots; Organic mixed herbs; Organic black pepper,,Tesco,1.8,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/268534919,,manual_csv,https://www.tesco.com/groceries/en-GB/products/268534919
5060107338920,Ella's Kitchen Chicken Curry With Veggie Rice 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Tomatoes; Cooked rice; Carrots; Chicken; Green beans; Butternut squash; Onions; Red peppers; Mangoes; Coconuts; Garlic; Cumin; Turmeric; Coriander seed,,Tesco,2.1,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/301892208,,manual_csv,https://www.tesco.com/groceries/en-GB/products/301892208
5060107337879,Ella's Kitchen Cottage Pie 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic potatoes; Organic vegetable stock; Organic onions; Organic beef; Organic carrots; Organic tomato puree; Organic peas; Organic cinnamon; Organic cornflour; Organic oregano,,Tesco,1.8,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/295487179,,manual_csv,https://www.tesco.com/groceries/en-GB/products/295487179
5060107333956,Ella's Kitchen Lovely Lamb Roast Dinner 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Vegetable stock; Parsnips; Swedes; Leeks; Potatoes; Carrots; Lamb; Red cabbage; Onions; Cornflour; Mint; Black pepper; Rosemary,,Tesco,2.1,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/273882453,,manual_csv,https://www.tesco.com/groceries/en-GB/products/273882453
5060107331365,Ella's Kitchen Organic Cottage Pie With Cinnamon 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Potatoes; Vegetable stock; Onions; Carrots; Sweet potatoes; Beef; Tomatoes; Peas; Cornflour; Cinnamon; Oregano,,Tesco,2.1,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/264772361,,manual_csv,https://www.tesco.com/groceries/en-GB/products/264772361
5060107331327,Ella's Kitchen Organic Tomato Pasta With Vegetables 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Tomatoes; Cooked pasta; Durum wheat; Dried egg whites; Carrots; Onions; Red peppers; Vegetable stock; Courgettes; Extra virgin olive oil; Oregano,Wheat; Egg; Soya; Mustard,Tesco,2.2,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/264772401,,manual_csv,https://www.tesco.com/groceries/en-GB/products/264772401
5060107332157,Ella's Kitchen Vegetable Bake With Lentils 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic tomatoes; Organic cooked lentils; Organic sweet potatoes; Organic onions; Organic vegetable stock; Organic red peppers; Organic carrots; Organic extra virgin olive oil; Organic mixed herbs and spices; Organic black pepper,,Tesco,1.8,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/268535020,,manual_csv,https://www.tesco.com/groceries/en-GB/products/268535020
5060107333970,Ella's Kitchen Wonderfully Warming Beef Stew 190G,Ella's Kitchen,Baby & Toddler,Baby Meals,Vegetable stock; Carrots; Parsnips; Leeks; Onions; Swedes; Potatoes; Beef; Tomatoes; Cornflour; Mixed herbs; Thyme; Parsley; Marjoram; Basil; Rosemary; Peppercorns,,Tesco,2.2,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/273881805,,manual_csv,https://www.tesco.com/groceries/en-GB/products/273881805
5060107335127,Ella's Vegetable Lasagne Stage 2 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic tomatoes; Organic cooked pasta; Organic durum wheat; Organic dried egg whites; Organic carrots; Organic courgettes; Organic onions; Organic aubergines; Organic red peppers; Organic vegetable stock; Organic mozzarella cheese; Organic creme fraiche; Organic garlic; Organic mixed herbs,Wheat; Egg; Milk; Soya; Mustard,Tesco,1.8,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/278047064,,manual_csv,https://www.tesco.com/groceries/en-GB/products/278047064
5000157079855,Heinz Lamb Hot Pot Baby Food Pouch 130g,Heinz,Baby & Toddler,Baby Meals,Carrot; Tomato; Potato; Peas; Onion; Water; Lamb; Cornflour; Parsley,,Tesco,1.6,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/290369978,,manual_csv,https://www.tesco.com/groceries/en-GB/products/290369978
5000157079800,Heinz Spaghetti Bolognese Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Tomato; Carrot; Onion; Courgette; Spaghetti; Water; Durum wheat semolina; Egg white; Beef; Cornflour; Parsley; Oregano; Thyme,Wheat; Egg; Soya; Mustard,Tesco,2.0,1.8,,,in_stock,https://www.tesco.com/groceries/en-GB/products/291397113,,manual_csv,https://www.tesco.com/groceries/en-GB/products/291397113
5000157079787,Heinz Sunday Chicken Dinner Baby Food Pouch 130g,Heinz,Baby & Toddler,Baby Meals,Parsnip; Carrot; Potato; Tomato; Sweet potato; Swede; Peas; Water; Chicken; Cornflour; Extra virgin olive oil,,Tesco,1.6,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/299232550,,manual_csv,https://www.tesco.com/groceries/en-GB/products/299232550
5000157079893,Heinz Sweet & Sour Chicken Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Carrot; Tomato; Onion; Red pepper; Rice; Chicken; Water; Pineapple; Raisins; Cornflour; Extra virgin olive oil,,Tesco,2.0,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/291397050,,manual_csv,https://www.tesco.com/groceries/en-GB/products/291397050
5000157079701,Heinz Sweet Potato & Beef Casserole Baby Food Pouch 130g,Heinz,Baby & Toddler,Baby Meals,Carrot; Tomato; Sweet potato; Onion; Water; Beef; Cornflour; Extra virgin olive oil; Parsley,,Tesco,1.6,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/278246387,,manual_csv,https://www.tesco.com/groceries/en-GB/products/278246387
5000157079909,"Heinz Sweet Potato, Chicken & Veggies Pouch Baby Food 130g",Heinz,Baby & Toddler,Baby Meals,Carrot; Tomato; Courgette; Sweet potato; Red pepper; Onion; Chicken; Water; Cornflour; Extra virgin olive oil,,Tesco,1.6,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/276872224,,manual_csv,https://www.tesco.com/groceries/en-GB/products/276872224
5000157079794,Heinz Thai Chicken Curry Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Carrot; Butternut squash; Sweet potato; Onion; Red pepper; Rice; Water; Chicken; Coconut; Cornflour; Parsley; Ginger; Curry spices,Celery,Tesco,2.0,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/316556187,,manual_csv,https://www.tesco.com/groceries/en-GB/products/316556187
