barcode,name,brand,category,price,promo_price,in_stock,product_url,image_url
5056000505910,Kendamil First Infant Milk 1 From Birth 800g,Kendamil,Baby & Toddler / Formula Milk,11.35,,true,https://www.sainsburys.co.uk/gol-ui/product/kendamil-first-infant-milk-1-from-birth-800g,
5056000502926,Kendamil Organic First Infant Milk 1 From Birth 800g,Kendamil,Baby & Toddler / Formula Milk,12.45,,true,https://www.sainsburys.co.uk/gol-ui/product/kendamil-organic-first-infant-milk-stage-1-from-birth-800g,
5060107330276,Ella's Kitchen Apples Plus Bananas 120G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.40,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,
5060107330368,Ella's Kitchen Strawberries Plus Apples 120G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.40,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,
5000157079978,"Heinz Peach, Mango, Banana & Apple Baby Food Fruit Puree Pouch 100g",Heinz,Baby & Toddler / Fruit Puree,1.25,1.00,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,
5060107330382,Ella's Kitchen Peaches Plus Bananas 120G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.40,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,
5060107332614,Ella's Kitchen Apples First Tastes 70G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.00,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,
5060107332621,Ella's Kitchen Pears First Tastes 70G,Ella's Kitchen,Baby & Toddler / Fruit Puree,1.00,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,
5051594006812,Aptamil 1 First Baby Milk Formula Powder from Birth 800g,Aptamil,Baby & Toddler / Formula Milk,12.80,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,
5051594006874,Cow & Gate 1 First Infant Baby Milk Formula Powder from Birth 800g,Cow & Gate,Baby & Toddler / Formula Milk,9.30,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,
7613035477872,SMA First Infant Baby Milk Powder Formula From Birth 800g,SMA,Baby & Toddler / Formula Milk,13.00,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,
