barcode,name,brand,category,subcategory,ingredients,allergens,source,source_url,data_confidence,needs_manual_review,notes
5060040253724,KIDDYLICIOUS Veggie Straws - saveur Légumes - 48g (4x12g),Kiddylicious,General Food,Uncategorised,"Fécule de pomme de terre (32%), huile de colza, farine de riz (20%), farine de pois secs (19%), chlorure de potassium, sel, tomate en poudre (0,4%), chou frisé en poudre (0,3%), épinards en poudre (0,3%), betterave en poudre (0,1%).",,open_food_facts,https://world.openfoodfacts.org/product/5060040253724/veggie-straws-kiddylicious,community,true,no clean SafeBite subcategory mapped; allergens missing or not explicitly declared
5060430292920,Power Shake Vanilla,BOL,Baby & Toddler,Porridge,"Oat Milk (Water, Gluten Free Oats), Banana, Soya Protein, Dates, Almond Butter (100% Almonds), Coconut Cream, Natural Flavourings, Cornstarch, Minerals (Chloride, Calcium, Potassium, Phosphorus, Magnesium, Iron, Zinc, Copper, Manganese, Selenium, Chromium, Molybdenum, lodine), Vitamins (A, C, K, Niacin, E, Pantothenic Acid D, B6, Riboflavin, Thiamine, Folate, Biotin, B12).",banana; nuts; soybeans,open_food_facts,https://world.openfoodfacts.org/product/5060430292920/power-shake-vanilla-bol,community,false,
5024121100499,Organix carrot cake oats bars,Organix,Baby Snacks,Oat Snacks,"Wholegrain oats 49.1%, Raisins (contains sunflower oil) 24.5%, Sunflower oil 10.8%, Carrot juice concentrate 6.9%, Agave fibre (inulin) 6.4%, Apple juice concentrate 2.0%, Cinnamon powder 0.4%, Orange oil &lt;0.1%, TOTAL 100%.",,open_food_facts,https://world.openfoodfacts.org/product/5024121100499/organix-carrot-cake-oats-bars,community,true,allergens missing or not explicitly declared
5024121222207,Gingerbread men biscuits,Organix,Baby Snacks,Oat Snacks,"Wholegrain wheat flour 31.5%, Wheat flour 31.5%, Grape juice concentrate 26%, Sunflower oil 10.2%, Raising agent (sodium bicarbonate) 0.5%, Ginger powder 0.3%, Thiamin (vitamin B1) &lt;0.1%",gluten,open_food_facts,https://world.openfoodfacts.org/product/5024121222207/gingerbread-men-biscuits-organix,community,false,
5060040250945,KIDDYLICIOUS Fruity Bakes - Fraise - 132g (6x1p),Kiddylicious,General Food,Uncategorised,"Farine de BLÉ complet* (39%), fourrage aux fruits* (35%) (concentré de jus de pomme, purée de fraises (26%), purée de cassis, purée de cerises, gélifiant: pectine, extrait de framboises), concentré de jus de pomme*, huile de tournesol*, farine de riz*, poudre à lever (carbonate acide de sodium), thiamine (vitamine B1).",gluten,open_food_facts,https://world.openfoodfacts.org/product/5060040250945/strawberry-fruity-bakes-6-x-132g-kiddylicious,community,true,no clean SafeBite subcategory mapped
5060107339811,Organic Sweetcorn + Carrot Melty Sticks 7 Months,Ella's Kitchen,Baby Snacks,Baby Crisps & Puffs,"Organic maize flour 72%, Organic sunflower oil 14%, Organic dried sweetcorn 9%, Organic dried carrots 4%, Organic rice flour 1%, Organic dried leeks &lt;1%, Thiamin (Vitamin B1) &lt;0.1%",,open_food_facts,https://world.openfoodfacts.org/product/5060107339811/organic-sweetcorn-carrot-melty-sticks-7-months-ella-s-kitchen,community,true,allergens missing or not explicitly declared
5024121100536,Soft Oaty Bars - Strawberry & Apple,Organix,Baby & Toddler,Porridge,"Wholegrain oats 49.5%, Raisins (contains sunflower oil) 19.8%, Sunflower oil 10.9%, Apple juice concentrate 8.9%, Agave fibre (inulin) 7.9%, Strawberry juice concentrate 3.0%",,open_food_facts,https://world.openfoodfacts.org/product/5024121100536/soft-oaty-bars-strawberry-apple-organix,community,true,allergens missing or not explicitly declared
4088600341828,Apple rice cakes,mamia,Baby & Toddler,Porridge,"ORGANIC WHITE RICE (89%), ORGANIC APPLE JUICE CONCENTRATE (11%), Vitamin B1",,open_food_facts,https://world.openfoodfacts.org/product/4088600341828/apple-rice-cakes-mamia,community,true,allergens missing or not explicitly declared
5060040250938,KIDDYLICIOUS Fruity Bakes - Pomme - 132g (6x1p),Kiddylicious,General Food,Uncategorised,"Farine de BLÉ complet 39%, fourrage aux pommes 35% (purée de pommes 67%, concentré de jus de pomme 33%), concentré de jus de pomme, huile de tournesol, farine de riz, poudre à lever (carbonate acide de sodium), thiamine (vitamine B1).",gluten,open_food_facts,https://world.openfoodfacts.org/product/5060040250938/apple-fruity-bakes-6-x-132g-kiddylicious,community,true,no clean SafeBite subcategory mapped
5060107337237,real Size from months crispy + nger food kitchen s,Ella's kitchen,Baby Snacks,Baby Crisps & Puffs,What's inside me Organic maize flour 75% Organic sunflower oil 13% Organic dried bananas 8% Organic dried strawberries 3% Organic dried raspberries &lt;x Organic when oren 44 Thiamin (Vitamin B** &lt;0.1% May contain milk and soya,,open_food_facts,https://world.openfoodfacts.org/product/5060107337237/real-size-from-months-crispy-nger-food-kitchen-s-ella-s-kitchen,community,true,allergens missing or not explicitly declared
5411188135289,"Alpro Haferdrink für Kinder 1-3+, Drink zum heranwachsen 1L",Alpro,General Food,Uncategorised,"Haferbasis (Wasser, Hafer (7,8%)), pflanzliche Öle (Rapsöl, Sonnenblumenöl), Erbsenprotein, Maltodextrin, Calciumcarbonat, natürliches Aroma, Säureregulator (Kaliumphosphate), Stabilisator (Gellan), Eisen, Kaliumiodid, Zink, Vitamine (A, B2, B9, B12, C, D2). Kuhmilcheiweißfrei. Von Natur aus laktosefrei.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5411188135289/oat-haver-alpro,community,true,no clean SafeBite subcategory mapped
5024121664212,Organix goodies,Organix,General Food,Uncategorised,"Wheat flour Fruit filling (apple juice concentrate (68%), apple puree concentrate (20%), strawberry puree (12%)) Wholegrain wheat flour Grape juice concentrate Sustainably sourced palm oil Sunflower oil Raising agent (sodium bicarbonate)* Thiamin (vitamin B1)* TOTAL 41.4% 20.2% * Raising agent (sodium bicarbonate) and Thiamin (vitamin B1) have no organic certification.",,open_food_facts,https://world.openfoodfacts.org/product/5024121664212/organix-goodies,community,true,no clean SafeBite subcategory mapped; allergens missing or not explicitly declared
